feature,mean_abs_shap
f059,0.27860012719543203
f519,0.105951045700274
f033,0.09579838843324563
f247,0.08911887668278051
f460,0.07350593167627134
f121,0.061411127692926816
f455,0.05530989050161871
f130,0.053167706381509416
f446,0.04830815202911362
f587,0.04703415753125665
f115,0.04330527265387819
f091,0.04213424114783234
f031,0.04054773204638094
f445,0.03919187576590641
f563,0.03785425434457242
f549,0.03558475096630393
f552,0.035414786458711295
f477,0.03510536065221892
f126,0.03373584330285028
f162,0.03263105680749976
f539,0.030149242837438445
f036,0.0290136153043849
f318,0.027759252533376903
f280,0.0277292007212452
f527,0.027253908112909876
f286,0.02478887211648848
f021,0.024169143863091054
f351,0.022283155754809585
f428,0.02221771413625257
f483,0.02191977819151321
f047,0.021604161410969984
f431,0.020695175451025852
f341,0.0204575529579261
f267,0.020438371426441594
f295,0.020367957468356835
f429,0.019878687931579167
f211,0.01984654050782025
f131,0.0189316432792962
f090,0.018915642453645486
f493,0.01836005233742581
f073,0.01751436120104746
f410,0.01742191632077087
f139,0.017210946659114677
f014,0.016782927098564042
f125,0.016500405050730596
f135,0.015792011016228413
f098,0.015773191847202495
f154,0.0150658955788588
f390,0.013781445402119789
f283,0.012991537026823057
f430,0.012831324126574579
f319,0.012739300722858593
f485,0.012593698176801666
f105,0.012472078042731675
f588,0.01212609611555199
f555,0.011329062129465776
f017,0.01122122463856301
f182,0.010056144773020345
f547,0.010017528226219936
f175,0.00975674872649539
f019,0.009649342647758942
f310,0.009570701081535012
f473,0.009484264134336666
f524,0.00899549598497245
f541,0.00899076453208623
f405,0.00877105301343138
f008,0.008744881571509861
f207,0.008587501404712355
f081,0.008554808998138312
f491,0.008544472149760682
f225,0.008516659965259956
f030,0.008467599159810973
f084,0.008230544814151865
f133,0.008060498133450314
f270,0.007635679977509536
f353,0.007561415006989147
f487,0.007460660654397545
f038,0.007453454194893244
f174,0.00744595139000916
f227,0.007173752015081485
f452,0.007060300587654734
f468,0.006689863322172845
f571,0.006153862416127181
f046,0.006146314851353578
f343,0.006124162005845705
f205,0.0057573399694816575
f123,0.005604637445940266
f298,0.005534421727828285
f184,0.005375313914125845
f201,0.0047597558256755835
f009,0.004746300878208064
f350,0.004697218647469664
f024,0.004657698909150561
f586,0.004638995040833587
f001,0.0045653499978998945
f250,0.004499798129878765
f490,0.004472262650459485
f161,0.003982943926007579
f361,0.0039254463881626105
f336,0.003900726721650645
f058,0.0037466593093462676
f553,0.0037150802012484146
f096,0.0037146232917137662
f086,0.0036716832581472534
f137,0.003662111545737768
f015,0.0036433012632038717
f489,0.0034108072105583074
f159,0.0033729406708735664
f469,0.0032630374903439966
f144,0.002911491619986509
f442,0.002861456884211148
f221,0.002660997036058123
f570,0.0025859392427941157
f285,0.002555641716099115
f416,0.002314397745359232
f180,0.0023044812622021113
f345,0.002192339665612502
f457,0.0021118811163966817
f409,0.002096347129251408
f006,0.0020885115222362837
f196,0.0019749929175346915
f165,0.001916044047286416
f118,0.0018491668620471842
f323,0.0018419030431786323
f064,0.001743196988348006
f153,0.0017087763417753341
f050,0.0016766041962617642
f122,0.0016692401173910275
f434,0.001643596686538323
f427,0.0015001896263971335
f439,0.0014535958971822994
f300,0.0014185528466309084
f294,0.0013343415720711376
f128,0.0012949717388434734
f088,0.0012798199408946623
f198,0.0010395339799032653
f333,0.0010017067456468101
f108,0.0008564843526888578
f331,0.0007315370515334188
f078,0.0007066520416611705
f075,0.0006478039323848037
f495,0.000583307949586924
f151,0.0005633784886771463
f187,0.0005541844275357586
f065,0.0004909742832823392
f029,0.0004877624379158013
f079,0.00040315061460866
f113,6.1029241801353233e-05
f359,0.0
f357,0.0
f419,0.0
f406,0.0
f421,0.0
f356,0.0
f420,0.0
f355,0.0
f362,0.0
f423,0.0
f354,0.0
f352,0.0
f349,0.0
f424,0.0
f348,0.0
f346,0.0
f344,0.0
f360,0.0
f365,0.0
f418,0.0
f385,0.0
f392,0.0
f407,0.0
f408,0.0
f391,0.0
f389,0.0
f425,0.0
f387,0.0
f411,0.0
f386,0.0
f377,0.0
f363,0.0
f412,0.0
f376,0.0
f413,0.0
f368,0.0
f415,0.0
f367,0.0
f366,0.0
f393,0.0
f417,0.0
f388,0.0
f000,0.0
f426,0.0
f546,0.0
f558,0.0
f557,0.0
f556,0.0
f554,0.0
f551,0.0
f550,0.0
f548,0.0
f545,0.0
f560,0.0
f544,0.0
f543,0.0
f542,0.0
f540,0.0
f526,0.0
f525,0.0
f523,0.0
f559,0.0
f561,0.0
f432,0.0
f574,0.0
f585,0.0
f584,0.0
f583,0.0
f582,0.0
f577,0.0
f576,0.0
f575,0.0
f573,0.0
f562,0.0
f572,0.0
f569,0.0
f568,0.0
f567,0.0
f566,0.0
f565,0.0
f564,0.0
f522,0.0
f521,0.0
f520,0.0
f444,0.0
f467,0.0
f459,0.0
f456,0.0
f454,0.0
f453,0.0
f448,0.0
f447,0.0
f443,0.0
f511,0.0
f441,0.0
f440,0.0
f438,0.0
f437,0.0
f436,0.0
f435,0.0
f433,0.0
f470,0.0
f471,0.0
f472,0.0
f339,0.0
f510,0.0
f500,0.0
f499,0.0
f497,0.0
f496,0.0
f494,0.0
f488,0.0
f486,0.0
f484,0.0
f482,0.0
f480,0.0
f479,0.0
f476,0.0
f475,0.0
f474,0.0
f340,0.0
f279,0.0
f338,0.0
f095,0.0
f107,0.0
f106,0.0
f104,0.0
f103,0.0
f102,0.0
f101,0.0
f100,0.0
f099,0.0
f094,0.0
f114,0.0
f093,0.0
f092,0.0
f089,0.0
f087,0.0
f083,0.0
f082,0.0
